Codice Ripartizione geografica,Codice Regione,Codice Provincia/Uts,Codice Comune,Comune,Targa,Capoluogo di Provincia/Uts,Capoluogo di Regione,Superficie (Kmq),Anno,Popolazione
1,1,201,1094,Corio,TO,False,False,41.4914,2020,3082
1,1,201,1095,Cossano Canavese,TO,False,False,3.2384,2020,443
1,1,201,1096,Cuceglio,TO,False,False,6.8709,2020,937
1,1,201,1097,Cumiana,TO,False,False,60.7335,2020,7787
1,1,201,1098,Cuorgnè,TO,False,False,19.3134,2020,9413
1,1,201,1099,Druento,TO,False,False,27.5395,2020,8822
1,1,201,1100,Exilles,TO,False,False,46.5474,2020,244
1,1,201,1101,Favria,TO,False,False,14.8499,2020,5122
1,1,201,1102,Feletto,TO,False,False,7.8931,2020,2178
1,1,201,1103,Fenestrelle,TO,False,False,49.4091,2020,483
1,1,201,1104,Fiano,TO,False,False,12.0415,2020,2640
1,1,201,1105,Fiorano Canavese,TO,False,False,4.3457,2020,751
1,1,201,1106,Foglizzo,TO,False,False,15.6427,2020,2255
1,1,201,1107,Forno Canavese,TO,False,False,16.5003,2020,3271
1,1,201,1108,Frassinetto,TO,False,False,24.8185,2020,274
1,1,201,1109,Front,TO,False,False,10.9482,2020,1627
1,1,201,1110,Frossasco,TO,False,False,20.1488,2020,2841
1,1,201,1111,Garzigliana,TO,False,False,7.4018,2020,544
1,1,201,1112,Gassino Torinese,TO,False,False,20.5108,2020,9389
1,1,201,1113,Germagnano,TO,False,False,14.4442,2020,1117
1,1,201,1114,Giaglione,TO,False,False,33.3833,2020,594
1,1,201,1115,Giaveno,TO,False,False,71.7376,2020,16168
1,1,201,1116,Givoletto,TO,False,False,12.8199,2020,4003
1,1,201,1117,Gravere,TO,False,False,18.987,2020,665
1,1,201,1118,Groscavallo,TO,False,False,92.0935,2020,194
1,1,201,1119,Grosso,TO,False,False,4.3296,2020,973
1,1,201,1120,Grugliasco,TO,False,False,13.1321,2020,37201
1,1,201,1121,Ingria,TO,False,False,14.7506,2020,45
1,1,201,1122,Inverso Pinasca,TO,False,False,8.0292,2020,689
1,1,201,1123,Isolabella,TO,False,False,4.7716,2020,371
1,1,201,1124,Issiglio,TO,False,False,5.5042,2020,409
1,1,201,1125,Ivrea,TO,False,False,30.1075,2020,22839
1,1,201,1126,La Cassa,TO,False,False,12.0353,2020,1766
1,1,201,1127,La Loggia,TO,False,False,12.7929,2020,8783
1,1,201,1128,Lanzo Torinese,TO,False,False,10.2876,2020,4878
1,1,201,1129,Lauriano,TO,False,False,14.29,2020,1422
1,1,201,1130,Leini,TO,False,False,31.9191,2020,16309
1,1,201,1131,Lemie,TO,False,False,45.6753,2020,185
1,1,201,1132,Lessolo,TO,False,False,7.9366,2020,1795
1,1,201,1133,Levone,TO,False,False,5.3912,2020,429
1,1,201,1134,Locana,TO,False,False,132.5173,2020,1382
1,1,201,1135,Lombardore,TO,False,False,12.7158,2020,1669
1,1,201,1136,Lombriasco,TO,False,False,7.2096,2020,1066
1,1,201,1137,Loranzè,TO,False,False,4.1914,2020,1149
1,1,201,1139,Luserna San Giovanni,TO,False,False,17.7414,2020,7096
1,1,201,1140,Lusernetta,TO,False,False,7.0398,2020,492
1,1,201,1141,Lusigliè,TO,False,False,5.2585,2020,547
1,1,201,1142,Macello,TO,False,False,14.1404,2020,1151
1,1,201,1143,Maglione,TO,False,False,6.3129,2020,413
1,1,201,1144,Marentino,TO,False,False,11.2593,2020,1306
1,1,201,1145,Massello,TO,False,False,38.2587,2020,56
1,1,201,1146,Mathi,TO,False,False,7.0706,2020,3795
1,1,201,1147,Mattie,TO,False,False,28.6942,2020,647
1,1,201,1148,Mazzè,TO,False,False,27.3424,2020,4169
1,1,201,1149,Meana di Susa,TO,False,False,16.5439,2020,809
1,1,201,1150,Mercenasco,TO,False,False,12.6383,2020,1283
1,1,201,1152,Mezzenile,TO,False,False,29.0871,2020,760
1,1,201,1153,Mombello di Torino,TO,False,False,4.0825,2020,383
1,1,201,1154,Mompantero,TO,False,False,30.3332,2020,639
1,1,201,1155,Monastero di Lanzo,TO,False,False,17.6554,2020,331
1,1,201,1156,Moncalieri,TO,False,False,47.5288,2020,56319
1,1,201,1157,Moncenisio,TO,False,False,4.5007,2020,41
1,1,201,1158,Montaldo Torinese,TO,False,False,4.6567,2020,723
1,1,201,1159,Montalenghe,TO,False,False,6.4681,2020,985
1,1,201,1160,Montalto Dora,TO,False,False,7.3567,2020,3349
1,1,201,1161,Montanaro,TO,False,False,20.9036,2020,5119
1,1,201,1162,Monteu da Po,TO,False,False,7.3896,2020,842
1,1,201,1163,Moriondo Torinese,TO,False,False,6.4895,2020,852
1,1,201,1164,Nichelino,TO,False,False,20.5627,2020,46512
1,1,201,1165,Noasca,TO,False,False,78.0481,2020,107
1,1,201,1166,Nole,TO,False,False,11.353,2020,6770
1,1,201,1167,Nomaglio,TO,False,False,3.0743,2020,291
1,1,201,1168,None,TO,False,False,24.6422,2020,7849
1,1,201,1169,Novalesa,TO,False,False,28.5542,2020,526
1,1,201,1170,Oglianico,TO,False,False,6.303,2020,1453
1,1,201,1171,Orbassano,TO,False,False,22.2078,2020,23061
1,1,201,1172,Orio Canavese,TO,False,False,7.1541,2020,764
1,1,201,1173,Osasco,TO,False,False,5.4885,2020,1173
1,1,201,1174,Osasio,TO,False,False,4.5771,2020,929
1,1,201,1175,Oulx,TO,False,False,99.7857,2020,3264
1,1,201,1176,Ozegna,TO,False,False,5.4058,2020,1187
1,1,201,1177,Palazzo Canavese,TO,False,False,5.0819,2020,842
1,1,201,1178,Pancalieri,TO,False,False,15.8878,2020,2005
1,1,201,1179,Parella,TO,False,False,2.6886,2020,419
1,1,201,1180,Pavarolo,TO,False,False,4.4056,2020,1124
1,1,201,1181,Pavone Canavese,TO,False,False,11.54,2020,3680
1,1,201,1183,Pecetto Torinese,TO,False,False,9.173,2020,3992
1,1,201,1184,Perosa Argentina,TO,False,False,26.0906,2020,3133
1,1,201,1185,Perosa Canavese,TO,False,False,4.708,2020,521
1,1,201,1186,Perrero,TO,False,False,63.183,2020,600
1,1,201,1187,Pertusio,TO,False,False,4.0041,2020,747
1,1,201,1188,Pessinetto,TO,False,False,5.3498,2020,629
1,1,201,1189,Pianezza,TO,False,False,16.4634,2020,15446
1,1,201,1190,Pinasca,TO,False,False,34.7183,2020,2843
1,1,201,1191,Pinerolo,TO,False,False,50.3376,2020,35480
1,1,201,1192,Pino Torinese,TO,False,False,21.8196,2020,8281
1,1,201,1193,Piobesi Torinese,TO,False,False,19.6488,2020,3823
1,1,201,1194,Piossasco,TO,False,False,40.1459,2020,18102
1,1,201,1195,Piscina,TO,False,False,9.9034,2020,3335
1,1,201,1196,Piverone,TO,False,False,11.0343,2020,1333
1,1,201,1197,Poirino,TO,False,False,75.6186,2020,10202
1,1,201,1198,Pomaretto,TO,False,False,8.5611,2020,970
1,1,201,1199,Pont Canavese,TO,False,False,19.0609,2020,3116
1,1,201,1200,Porte,TO,False,False,4.4476,2020,1076
1,1,201,1201,Pragelato,TO,False,False,89.2017,2020,762
1,1,201,1202,Prali,TO,False,False,72.6092,2020,252
1,1,201,1203,Pralormo,TO,False,False,29.8455,2020,1891
1,1,201,1204,Pramollo,TO,False,False,22.4785,2020,223
1,1,201,1205,Prarostino,TO,False,False,10.5052,2020,1250
1,1,201,1206,Prascorsano,TO,False,False,6.2419,2020,738
1,1,201,1207,Pratiglione,TO,False,False,7.8803,2020,460
1,1,201,1208,Quagliuzzo,TO,False,False,2.038,2020,327
1,1,201,1209,Quassolo,TO,False,False,3.9559,2020,338
1,1,201,1210,Quincinetto,TO,False,False,17.7879,2020,997
1,1,201,1211,Reano,TO,False,False,6.6658,2020,1763
1,1,201,1212,Ribordone,TO,False,False,43.6002,2020,48
1,1,201,1213,Rivalba,TO,False,False,10.8334,2020,1124
1,1,201,1214,Rivalta di Torino,TO,False,False,25.1076,2020,20127
1,1,201,1215,Riva presso Chieri,TO,False,False,35.8318,2020,4734
1,1,201,1216,Rivara,TO,False,False,12.5838,2020,2527
1,1,201,1217,Rivarolo Canavese,TO,False,False,32.2459,2020,12302
1,1,201,1218,Rivarossa,TO,False,False,10.8733,2020,1542
1,1,201,1219,Rivoli,TO,False,False,29.4998,2020,47807
1,1,201,1220,Robassomero,TO,False,False,8.5756,2020,3042
1,1,201,1221,Rocca Canavese,TO,False,False,14.1912,2020,1664
1,1,201,1222,Roletto,TO,False,False,9.7039,2020,1962
1,1,201,1223,Romano Canavese,TO,False,False,11.2106,2020,2606
1,1,201,1224,Ronco Canavese,TO,False,False,96.2686,2020,296
1,1,201,1225,Rondissone,TO,False,False,10.6877,2020,1867
1,1,201,1226,Rorà,TO,False,False,12.4075,2020,228
1,1,201,1227,Roure,TO,False,False,59.3732,2020,789
1,1,201,1228,Rosta,TO,False,False,9.065,2020,5044
1,1,201,1229,Rubiana,TO,False,False,26.9371,2020,2352
